char,word,tier,rep,pg
lenehan,word,1,0,1092
lenehan,word,1,0,1275
lenehan,word,1,1,1275
lenehan,word,1,0,1284
lenehan,word,1,0,703
none,look,1,0,13
none,look,1,0,73
none,look,1,0,77
none,look,1,0,206
none,look,1,0,234
none,look,1,0,275
none,look,1,0,284
none,look,1,0,329
none,look,1,0,366
none,look,1,0,405
none,look,1,0,549
none,look,1,0,689
none,look,1,0,720
none,look,1,0,722
none,look,1,0,727
none,look,1,0,728
none,look,1,0,858
none,look,1,0,859
none,look,1,0,921
none,look,1,0,968
none,look,1,1,968
none,look,1,2,968
none,look,1,3,968
none,look,1,4,968
none,look,1,5,968
none,look,1,0,979
none,look,1,0,1045
none,look,1,0,1056
none,look,1,0,1061
none,look,1,0,1076
none,look,1,0,1091
none,look,1,0,1092
none,look,1,0,1109
none,look,1,0,1158
none,look,1,0,70
none,look,1,0,198
none,look,1,0,384
none,look,1,6,968
none,look,1,0,1073
none,look,1,0,1259
none,look,1,0,1260
dedalus,look,1,0,724
none,bright,1,0,13
none,bright,1,0,81
none,bright,1,0,185
none,bright,1,0,323
none,bright,1,0,615
none,bright,1,0,884
none,bright,1,0,960
none,bright,1,0,1109
none,bright,1,0,1270
none,bright,1,0,324
none,bright,1,1,615
none,bright,1,0,320
minlyd,answer,1,0,13
minlyd,answer,1,0,208
minlyd,answer,1,0,235
minlyd,answer,1,0,237
minlyd,answer,1,0,323
minlyd,answer,1,0,334
minlyd,answer,1,0,436
minlyd,answer,1,0,635
minlyd,answer,1,0,690
minlyd,answer,1,0,866
minlyd,answer,1,0,886
minlyd,answer,1,0,950
minlyd,answer,1,0,957
lydia,O,1,0,14
lydia,O,1,0,79
lydia,O,1,0,169
lydia,O,1,0,181
lydia,O,1,0,204
lydia,O,1,0,252
lydia,O,1,0,404
lydia,O,1,0,557
lydia,O,1,0,940
lydia,O,1,0,1062
lydia,O,1,0,1109
lydia,O,1,0,146
lydia,O,1,0,178
lydia,O,1,0,179
lydia,O,1,0,362
lydia,O,1,1,362
lydia,O,1,2,362
lydia,O,1,0,127
lydia,O,1,0,183
lydia,O,1,0,194
lydia,O,1,0,226
lydia,O,1,0,512
lydia,O,1,0,546
lydia,O,1,0,548
lydia,O,1,0,558
lydia,O,1,1,558
lydia,O,1,0,870
lydia,O,1,0,979
lydia,O,1,0,1132
lydia,O,1,0,1210
lydia,O,1,0,1250
lydia,O,1,0,1260
lydia,O,1,0,513
lydia,O,1,0,892
lydia,O,1,0,898
lydia,O,1,0,1245
lenehan,O,1,0,244
boylan,Jing,1,0,15
boylan,Jing,1,0,19
boylan,Jing,1,0,212
boylan,Jing,1,0,245
boylan,Jing,1,0,304
boylan,Jing,1,0,330
boylan,Jing,1,0,456
boylan,Jing,1,0,458
boylan,Jing,1,1,458
boylan,Jing,1,0,498
boylan,Jing,1,0,568
boylan,Jing,1,0,640
boylan,Jing,1,0,687
boylan,Jing,1,0,689
boylan,Jing,1,0,762
boylan,Jing,1,0,812
boylan,Jing,1,0,869
boylan,Jing,1,1,15
boylan,Jing,1,3,15
boylan,Jing,1,2,245
boylan,Jing,1,0,290
boylan,Jing,1,0,457
boylan,Jing,1,2,524
boylan,Jing,1,1,579
boylan,Jing,1,0,606
boylan,Jing,1,0,883
boylan,Jing,1,0,884
boylan,Jing,2,0,578
boylan,Jing,2,1,578
boylan,Jing,2,0,977
boylan,Jing,2,0,579
boylan,Jing,2,0,524
boylan,Jing,2,0,607
boylan,Jing,2,0,766
boylan,Jing,2,1,883
boylan,Jing,2,1,977
boylan,Jing,2,2,977
boylan,Jing,3,2,15
boylan,Jing,3,1,245
boylan,Jing,3,1,290
boylan,Jing,3,0,302
boylan,Jing,3,1,304
boylan,Jing,3,1,330
boylan,Jing,3,1,456
boylan,Jing,3,1,498
boylan,Jing,3,1,524
boylan,Jing,3,2,579
boylan,Jing,3,3,579
boylan,Jing,3,1,640
boylan,Jing,3,0,763
boylan,coin,1,0,371
boylan,coin,1,0,382
boylan,coin,1,0,384
boylan,coin,1,0,16
boylan,coin,1,1,371
boylan,coin,3,0,303
boylan,coin,3,0,713
boylan,clock,1,0,386
boylan,clock,1,0,978
boylan,clock,1,0,1242
boylan,clock,1,0,16
boylan,clock,1,0,188
boylan,clock,1,0,380
boylan,clock,1,0,381
boylan,clock,1,0,383
boylan,clock,2,1,16
boylan,clock,2,1,381
boylan,clock,2,1,383
boylan,clock,2,0,384
lydia,sonnez,1,0,17
lydia,sonnez,1,0,404
lydia,sonnez,1,0,409
lydia,sonnez,1,0,412
lydia,sonnez,1,0,682
lydia,sonnez,1,0,764
lydia,sonnez,1,1,764
lydia,sonnez,1,0,1240
lydia,cloche,1,0,18
lydia,cloche,1,0,404
lydia,cloche,1,0,415
lydia,cloche,1,0,764
lydia,cloche,1,1,764
lydia,cloche,1,0,1240
lydia,warm,1,0,342
lydia,warm,1,0,414
lydia,warm,1,1,414
lydia,warm,1,0,446
lydia,warm,1,0,526
lydia,warm,1,0,705
lydia,warm,1,0,708
lydia,warm,1,0,974
lydia,warm,1,0,18
ben,chord,1,0,20
ben,chord,1,0,324
ben,chord,1,0,407
ben,chord,1,1,407
ben,chord,1,0,452
ben,chord,1,0,478
ben,chord,1,0,529
ben,chord,1,0,663
ben,chord,1,1,663
ben,chord,1,0,737
ben,chord,1,0,767
ben,chord,1,0,791
ben,chord,1,0,831
ben,chord,1,0,840
ben,chord,1,0,999
ben,chord,1,0,1017
ben,chord,1,0,1030
ben,chord,1,0,1121
ben,love,1,0,20
ben,love,1,0,301
ben,love,1,0,325
ben,love,1,0,326
ben,love,1,0,531
ben,love,1,0,581
ben,love,1,0,591
ben,love,1,0,597
ben,love,1,0,680
ben,love,1,1,680
ben,love,1,0,681
ben,love,1,0,709
ben,love,1,0,737
ben,love,1,0,742
ben,love,1,0,921
ben,love,1,0,1007
ben,love,1,0,1057
ben,love,1,0,1078
ben,love,1,0,1080
ben,love,1,0,1175
ben,love,1,0,1176
ben,love,1,0,1177
ben,love,1,1,1177
ben,love,1,0,459
ben,love,1,0,533
ben,love,1,0,553
ben,love,1,0,580
ben,love,1,0,638
ben,love,1,1,681
ben,love,1,0,682
ben,love,1,0,713
ben,love,1,0,939
ben,love,1,0,1069
ben,love,1,0,1226
ben,love,1,0,530
ben,love,1,0,782
ben,love,1,0,928
bob,wave,1,0,21
bob,wave,1,1,21
bob,wave,1,0,300
bob,wave,1,0,546
bob,wave,1,0,591
bob,wave,1,0,596
bob,wave,1,0,809
bob,wave,1,0,936
bob,wave,1,0,949
bob,wave,1,0,1078
bob,wave,1,0,1106
richie,lost,1,0,22
richie,lost,1,0,407
richie,lost,1,0,408
richie,lost,1,0,478
richie,lost,1,0,632
richie,lost,1,0,634
richie,lost,1,0,635
richie,lost,1,0,636
richie,lost,1,0,641
richie,lost,1,0,642
richie,lost,1,0,646
richie,lost,1,0,678
richie,lost,1,0,802
richie,lost,1,0,840
richie,lost,1,0,870
richie,lost,1,0,927
richie,lost,1,0,1113
richie,lost,1,0,1242
richie,lost,1,1,22
lenehan,horn,1,0,23
lenehan,horn,1,0,526
lenehan,horn,1,0,527
lenehan,horn,1,0,1254
lenehan,horn,1,2,23
lenehan,horn,1,0,34
lenehan,horn,1,0,432
lenehan,horn,1,3,527
lenehan,horn,1,1,633
lenehan,horn,1,0,924
lenehan,horn,1,0,1156
lenehan,horn,1,0,1240
lenehan,horn,2,0,186
lenehan,horn,2,1,527
lenehan,horn,2,0,633
lenehan,horn,2,0,1255
lenehan,horn,2,1,23
lenehan,horn,2,2,527
lenehan,horn,2,1,1240
bloom,full,1,0,126
bloom,full,1,0,171
bloom,full,1,1,171
bloom,full,1,2,171
bloom,full,1,0,693
bloom,full,1,0,701
bloom,full,1,0,731
bloom,full,1,0,851
bloom,full,1,0,1039
bloom,full,1,0,25
bloom,full,1,1,25
bloom,full,1,0,730
bloomstrip,tup,1,0,25
bloomstrip,tup,1,0,705
bloomstrip,tup,1,0,709
bloomstrip,tup,1,0,1126
bloomstrip,tup,1,0,707
bloomstrip,tup,1,1,707
bloomstrip,tup,1,0,708
bloomstrip,tup,2,0,706
bloomstrip,tup,2,0,668
bloomstrip,tup,2,0,1029
bloomstrip,tup,2,0,196
bloomstrip,tup,2,1,706
bloomstrip,tup,2,0,1281
bloomstrip,tup,3,0,765
bloomstrip,tup,3,0,842
bloomstrip,tup,3,0,1076
bloomstrip,tup,3,0,1198
bloomstrip,tup,3,0,30
bloomstrip,tup,3,0,605
bloomstrip,tup,3,0,871
bloomstrip,tup,3,0,872
bloomstrip,tup,3,0,903
bloomstrip,tup,3,0,1050
bloomstrip,tup,3,0,1127
bloomstrip,tup,3,0,1249
bloomstrip,tup,3,0,604
bloomstrip,tup,3,0,1187
bloom,Martha,1,0,27
bloom,Martha,1,0,229
bloom,Martha,1,0,715
bloom,Martha,1,0,738
bloom,Martha,1,0,742
bloom,Martha,1,0,835
bloom,Martha,1,0,897
dedalus,Martha,1,0,713
dedalus,Martha,1,0,735
dedalus,Martha,1,1,735
dedalus,come,1,0,101
dedalus,come,1,0,152
dedalus,come,1,0,154
dedalus,come,1,0,220
dedalus,come,1,0,340
dedalus,come,1,0,392
dedalus,come,1,0,449
dedalus,come,1,0,746
dedalus,come,1,0,830
dedalus,come,1,0,1004
dedalus,come,1,0,1008
dedalus,come,1,0,1012
dedalus,come,1,0,1072
dedalus,come,1,0,1098
dedalus,come,1,0,27
dedalus,come,1,0,358
dedalus,come,1,0,430
dedalus,come,1,0,442
dedalus,come,1,1,449
dedalus,come,1,2,449
dedalus,come,1,0,754
dedalus,come,1,1,754
dedalus,come,1,0,994
dedalus,come,1,0,1146
dedalus,come,1,0,744
dedalus,come,1,0,740
dedalus,come,1,0,741
dedalus,clap,1,0,28
dedalus,clap,1,1,28
dedalus,clap,1,3,28
dedalus,clap,1,0,754
dedalus,clap,1,0,756
dedalus,clap,1,1,756
dedalus,clap,1,2,756
dedalus,clap,1,0,757
dedalus,clap,1,2,757
dedalus,clap,1,3,757
dedalus,clap,1,0,758
dedalus,clap,1,1,758
dedalus,clap,1,0,973
dedalus,clap,1,0,1160
dedalus,clap,1,4,28
dedalus,clap,1,5,28
dedalus,clap,1,3,756
dedalus,clap,1,4,756
dedalus,clap,1,4,757
dedalus,clap,1,6,757
dedalus,clap,2,2,28
dedalus,clap,2,1,757
dedalus,clap,2,5,757
minlyd,heard,1,0,29
minlyd,heard,1,0,65
minlyd,heard,1,0,112
minlyd,heard,1,0,113
minlyd,heard,1,0,240
minlyd,heard,1,0,278
minlyd,heard,1,0,338
minlyd,heard,1,0,345
minlyd,heard,1,0,395
minlyd,heard,1,0,443
minlyd,heard,1,0,457
minlyd,heard,1,0,545
minlyd,heard,1,0,549
minlyd,heard,1,0,611
minlyd,heard,1,0,633
minlyd,heard,1,0,650
minlyd,heard,1,0,678
minlyd,heard,1,0,679
minlyd,heard,1,0,780
minlyd,heard,1,0,782
minlyd,heard,1,0,787
minlyd,heard,1,0,823
minlyd,heard,1,0,849
minlyd,heard,1,0,930
minlyd,heard,1,1,930
minlyd,heard,1,0,934
minlyd,heard,1,0,935
minlyd,heard,1,0,1143
minlyd,heard,1,0,1173
